acs2-bench mpx-reach: sizes=[70] n_exp=1 seed=46 rss_cap=5.6GB time_cap=600000s do_ga=true alp_gen_variant=pyalcs
  mem mpx-70 (N=71): condition=142B effect=142B mark=1704B (stack) classifier=2072B  mark/classifier=82.2%  rss-cap pop-threshold=2702702
  mpx-70 trials_cap=18446744073709551615 (= 20000*2^(k-6)*10, clamped to u64::MAX) u_max=8
  mpx-70 traj: trials=60000 wall=71s knowledge=0.0000 reliable=0 spec=0.00 pop=3753
  mpx-70 traj: trials=120000 wall=124s knowledge=0.0009 reliable=1 spec=10.00 pop=3735
  mpx-70 traj: trials=180000 wall=173s knowledge=0.0061 reliable=6 spec=9.33 pop=3946
  mpx-70 traj: trials=240000 wall=217s knowledge=0.0076 reliable=8 spec=8.88 pop=3860
  mpx-70 traj: trials=300000 wall=263s knowledge=0.0112 reliable=10 spec=9.00 pop=4004
  mpx-70 traj: trials=360000 wall=315s knowledge=0.0103 reliable=9 spec=9.22 pop=4143
  mpx-70 traj: trials=420000 wall=362s knowledge=0.0118 reliable=9 spec=9.11 pop=4445
  mpx-70 traj: trials=480000 wall=408s knowledge=0.0116 reliable=9 spec=9.44 pop=3922
  mpx-70 traj: trials=540000 wall=457s knowledge=0.0131 reliable=8 spec=9.12 pop=4179
  mpx-70 traj: trials=600000 wall=501s knowledge=0.0154 reliable=10 spec=9.60 pop=4517
  mpx-70 traj: trials=660000 wall=546s knowledge=0.0151 reliable=10 spec=9.90 pop=4770
  mpx-70 traj: trials=720000 wall=592s knowledge=0.0208 reliable=16 spec=9.94 pop=4206
  mpx-70 traj: trials=780000 wall=638s knowledge=0.0226 reliable=18 spec=10.28 pop=4565
  mpx-70 traj: trials=840000 wall=682s knowledge=0.0432 reliable=28 spec=9.57 pop=4570
  mpx-70 traj: trials=900000 wall=726s knowledge=0.0454 reliable=28 spec=9.82 pop=4617
  mpx-70 traj: trials=960000 wall=769s knowledge=0.0549 reliable=34 spec=9.68 pop=5208
  mpx-70 traj: trials=1020000 wall=813s knowledge=0.0661 reliable=45 spec=9.51 pop=4578
  mpx-70 traj: trials=1080000 wall=854s knowledge=0.0728 reliable=46 spec=9.57 pop=4859
  mpx-70 traj: trials=1140000 wall=894s knowledge=0.0854 reliable=50 spec=9.26 pop=4787
  mpx-70 traj: trials=1200000 wall=933s knowledge=0.1069 reliable=59 spec=9.10 pop=4411
  mpx-70 traj: trials=1260000 wall=973s knowledge=0.1154 reliable=67 spec=9.12 pop=4418
  mpx-70 traj: trials=1320000 wall=1012s knowledge=0.1281 reliable=70 spec=9.04 pop=4273
  mpx-70 traj: trials=1380000 wall=1048s knowledge=0.1474 reliable=78 spec=9.01 pop=4036
  mpx-70 traj: trials=1440000 wall=1083s knowledge=0.1581 reliable=82 spec=9.04 pop=4448
  mpx-70 traj: trials=1500000 wall=1117s knowledge=0.1802 reliable=97 spec=9.01 pop=4432
  mpx-70 traj: trials=1560000 wall=1154s knowledge=0.1882 reliable=91 spec=8.92 pop=3795
  mpx-70 traj: trials=1620000 wall=1188s knowledge=0.1932 reliable=86 spec=8.77 pop=3521
  mpx-70 traj: trials=1680000 wall=1222s knowledge=0.2004 reliable=91 spec=8.80 pop=3588
  mpx-70 traj: trials=1740000 wall=1255s knowledge=0.2043 reliable=86 spec=8.63 pop=3692
  mpx-70 traj: trials=1800000 wall=1291s knowledge=0.2119 reliable=90 spec=8.61 pop=3314
  mpx-70 traj: trials=1860000 wall=1321s knowledge=0.2264 reliable=105 spec=8.74 pop=3613
  mpx-70 traj: trials=1920000 wall=1353s knowledge=0.2483 reliable=111 spec=8.69 pop=3385
  mpx-70 traj: trials=1980000 wall=1387s knowledge=0.2591 reliable=115 spec=8.65 pop=3817
  mpx-70 traj: trials=2040000 wall=1427s knowledge=0.2730 reliable=112 spec=8.60 pop=3142
