source,block,size,seed,variant,u_max,repeat,encoding,encoding_source,epsilon,agent,eval_interval,commit,tag,do_ga,er_buffer_size,er_min_samples,er_samples_number,verdict,trials,knowledge,reliable,spec,n_bits,peak_macro,peak_rss_gb,wall_s,trials_per_s
slurm_mpx70_s42_cover.out,1,70,42,pyalcs,8,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,17880000,1.0,277,7.04,71,16326,0.0,8002.4,2234.33
slurm_mpx70_s42_er.out,1,70,42,pyalcs,8,0,flip,wrapper-default,0.8,acs2er,,,,true,10000,1000,3,SUCCESS,3960000,1.0,318,7.0,71,198695,0.0,576327.6,6.87
slurm_mpx70_s42_er1.out,1,70,42,pyalcs,8,0,flip,wrapper-default,0.8,acs2er,,,,true,10000,1000,1,SUCCESS,12120000,1.0,268,7.0,71,15547,0.0,15566.4,778.6
slurm_mpx70_s42_qdetail.out,1,70,42,pyalcs,8,0,flip,wrapper-default,0.8,acs2,,,,true,,,,SUCCESS,17880000,1.0,277,7.04,71,16326,0.0,10541.5,1696.15
mpx_m2b_reach70.log,1,70,43,pyalcs,8,1,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,1555000,0.1349,75,9.2,71,6951,0.13,600.1,2591.23
slurm_mpx70_s43.out,1,70,43,pyalcs,8,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,17820000,1.0,269,7.0,71,16789,0.0,13692.1,1301.48
slurm_mpx70_s43_cover.out,1,70,43,pyalcs,8,0,flip,wrapper-default,0.8,acs2,,,,true,,,,SUCCESS,17820000,1.0,269,7.0,71,16789,0.0,13150.6,1355.07
slurm_mpx70_s43_er1.out,1,70,43,pyalcs,8,0,flip,wrapper-default,0.8,acs2er,,,,true,10000,1000,1,SUCCESS,22860000,1.0,270,7.0,71,14969,0.0,13726.3,1665.42
mpx_m2b_reach70.log,1,70,44,pyalcs,8,2,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,1503000,0.1419,91,9.79,71,12548,0.14,600.1,2504.58
slurm_mpx70_s44.out,1,70,44,pyalcs,8,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,44580000,1.0,274,7.0,71,22538,0.0,28988.3,1537.86
slurm_mpx70_s45.out,1,70,45,pyalcs,8,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,21300000,1.0,271,7.0,71,17607,0.0,11529.2,1847.48
slurm_mpx70_s46.out,1,70,46,pyalcs,8,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,66420000,1.0,268,7.0,71,20363,0.0,46265.9,1435.61
