maze,n_exp,exploit_steps_mean,exploit_steps_std,macro_pop_mean,numerosity_mean,reliable_mean,explore_time_total_s,exploit_time_total_s,total_time_s
Maze4-v0,10,3.5935,0.1811,304.30,304.30,264.80,55.0596,8.5089,63.5685
Maze5-v0,10,4.8125,0.2358,396.30,396.30,321.50,80.2096,13.7140,93.9236
Maze7-v0,10,6.6100,0.3338,365.40,365.40,339.40,99.4364,18.0079,117.4442
Woods1-v0,10,1.8125,0.0617,204.20,204.20,131.00,16.7692,3.0709,19.8401
Woods100-v0,10,18.4390,2.1444,18.10,18.10,14.10,5.8926,5.5354,11.4280
