maze,n_exp,exploit_steps_mean,exploit_steps_std,macro_pop_mean,numerosity_mean,reliable_mean,explore_time_total_s,exploit_time_total_s,total_time_s
Maze4-v0,10,3.5845,0.1275,283.40,283.40,260.10,0.4112,0.0335,0.4446
Maze5-v0,10,4.6940,0.2388,392.80,392.80,336.70,0.6689,0.0697,0.7385
Maze7-v0,10,6.7410,0.2905,362.90,362.90,342.70,0.7727,0.0789,0.8516
Woods1-v0,10,1.6925,0.1102,121.10,121.10,117.10,0.0548,0.0082,0.0630
Woods100-v0,10,17.7745,3.0072,18.00,18.00,14.00,0.0275,0.0175,0.0450
