maze,n_exp,exploit_steps_mean,exploit_steps_std,macro_pop_mean,numerosity_mean,reliable_mean,explore_time_total_s,exploit_time_total_s,total_time_s
Maze4-v0,10,3.5845,0.1275,283.40,283.40,260.10,0.3815,0.0332,0.4146
Maze5-v0,10,4.6940,0.2388,392.80,392.80,336.70,0.6844,0.0717,0.7562
Maze7-v0,10,6.7410,0.2905,362.90,362.90,342.70,0.8315,0.0842,0.9156
Woods1-v0,10,1.6925,0.1102,121.10,121.10,117.10,0.0578,0.0086,0.0664
Woods100-v0,10,17.7745,3.0072,18.00,18.00,14.00,0.0288,0.0183,0.0471
